country,count
United States,94
China,59
Japan,37
Germany,33
France,32
United Kingdom,23
Canada,23
Italy,22
United States;,13
Netherlands,12
Singapore,10
Austria,10
Switzerland,8
Fiji,7
Israel,7
Georgia,6
India,5
Spain,5
Belgium,5
United Kingdom;,5
United States.,4
Portugal,4
Sweden,4
Jordan,4
Mexico,4
Monaco,3
Ireland,3
Australia,3
United States,,2
Chad,2
United Kingdom,,2
Greece,2
Poland,2
Brazil,2
Chile,2
Ukraine,2
Norway,2
Hong Kong,1
Sudan,1
Malta,1
Mali,1
Tunisia,1
Argentina,1
Czech Republic,1
United Kingdom.,1
Hong Kong.,1
Montenegro,1
